block_raw,block_matched,block_id,row_number,side,row_length_m,row_width_m,structure
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,31,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,32,,142.7,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,33,,129.2,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,34,,109.2,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,35,,84,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,36,,49.3,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,37,,27,4.5,PORTION
S/Shed,Spray Shed Gala,86b6c29b-dc5e-48c5-bfe6-af6326962a0f,1,,175.76,5,PORTION
S/Shed,Spray Shed Gala,86b6c29b-dc5e-48c5-bfe6-af6326962a0f,2,,189.6,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,3,,208.26,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,4,,220.79,5,PORTION
S/Shed,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,5,,216,5,PORTION
S/Shed,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,6,,214,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,7,,215,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,8,,215,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,9,,205.85,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,10,,218.3,5,PORTION
S/Shed,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,11,,218,5,PORTION
S/Shed,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,12,,210,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,13,,193.4,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,14,,164.34,5,PORTION
S/Shed,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,15,,162,5,PORTION
S/Shed,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,16,,166,5,PORTION
